GT_Community,GT_Size,Best_Louvain,Louvain_Size,Intersection,Precision,Recall,F1,Jaccard
239,25,38,2731,16,0.005858659831563529,0.64,0.011611030478955005,0.00583941605839416
240,4,38,2731,4,0.0014646649578908824,1.0,0.002925045703839122,0.0014646649578908824
241,4,68,1400,4,0.002857142857142857,1.0,0.005698005698005697,0.002857142857142857
242,3,2,11458,3,0.00026182579856868566,1.0,0.000523514527528139,0.00026182579856868566
243,178,45,2354,173,0.07349192863211555,0.9719101123595506,0.13665086887835703,0.07333615938957186
244,149,45,2354,144,0.06117247238742566,0.9664429530201343,0.11506192568917298,0.06104281475201356
245,3,54,1939,3,0.0015471892728210418,1.0,0.0030895983522142125,0.0015471892728210418
246,3,80,1105,3,0.0027149321266968325,1.0,0.005415162454873646,0.0027149321266968325
247,3,0,12666,3,0.00023685457129322596,1.0,0.0004735969689793986,0.00023685457129322596
248,4,0,12666,4,0.00031580609505763463,1.0,0.0006314127861089188,0.00031580609505763463
249,3,0,12666,3,0.00023685457129322596,1.0,0.0004735969689793986,0.00023685457129322596
250,4,0,12666,4,0.00031580609505763463,1.0,0.0006314127861089188,0.00031580609505763463
251,3,0,12666,3,0.00023685457129322596,1.0,0.0004735969689793986,0.00023685457129322596
252,30,48,2150,20,0.009302325581395349,0.6666666666666666,0.01834862385321101,0.009259259259259259
253,7,23,3999,7,0.0017504376094023505,1.0,0.003494757863205192,0.0017504376094023505
254,5,23,3999,5,0.001250312578144536,1.0,0.0024975024975024975,0.001250312578144536
255,4,23,3999,4,0.001000250062515629,1.0,0.0019985011241568824,0.001000250062515629
256,5,48,2150,5,0.002325581395348837,1.0,0.004640371229698376,0.002325581395348837
257,20,16,5112,8,0.001564945226917058,0.4,0.003117692907248636,0.00156128024980484
258,25,16,5112,11,0.0021517996870109544,0.44,0.004282655246252676,0.002145922746781116
259,25,5,8566,25,0.0029185150595377072,1.0,0.005820044232336166,0.0029185150595377072
260,5,55,1882,5,0.002656748140276302,1.0,0.005299417064122946,0.002656748140276302
261,3,55,1882,3,0.001594048884165781,1.0,0.003183023872679045,0.001594048884165781
262,4,55,1882,4,0.0021253985122210413,1.0,0.0042417815482502655,0.0021253985122210413
263,8,5,8566,8,0.0009339248190520663,1.0,0.0018661068346162819,0.0009339248190520663
264,4,10,5960,4,0.0006711409395973154,1.0,0.0013413816230717637,0.0006711409395973154
265,3,10,5960,3,0.0005033557046979866,1.0,0.001006204930404159,0.0005033557046979866
266,3,7,6767,3,0.0004433279148810403,1.0,0.0008862629246676514,0.0004433279148810403
267,4,16,5112,2,0.0003912363067292645,0.5,0.0007818608287724786,0.00039108330074305825
268,3,66,1451,3,0.002067539627842867,1.0,0.0041265474552957355,0.002067539627842867
269,3,16,5112,3,0.0005868544600938967,1.0,0.0011730205278592375,0.0005868544600938967
270,3,10,5960,3,0.0005033557046979866,1.0,0.001006204930404159,0.0005033557046979866
271,13,48,2150,13,0.0060465116279069765,1.0,0.012020342117429497,0.0060465116279069765
272,16,10,5960,16,0.0026845637583892616,1.0,0.00535475234270415,0.0026845637583892616
273,4,10,5960,4,0.0006711409395973154,1.0,0.0013413816230717637,0.0006711409395973154
274,3,45,2354,3,0.001274426508071368,1.0,0.0025456088247772595,0.001274426508071368
275,8,10,5960,8,0.0013422818791946308,1.0,0.002680965147453083,0.0013422818791946308
276,3,9,5969,3,0.0005025967498743508,1.0,0.0010046885465505692,0.0005025967498743508
277,5,9,5969,5,0.0008376612497905847,1.0,0.0016739203213927015,0.0008376612497905847
278,3,30,3190,3,0.0009404388714733542,1.0,0.0018791105543376136,0.0009404388714733542
279,5,83,1064,5,0.004699248120300752,1.0,0.009354536950420954,0.004699248120300752
280,15,114,626,15,0.023961661341853034,1.0,0.046801872074883,0.023961661341853034
281,6,1,12446,3,0.00024104129840912743,0.5,0.00048185030517186,0.00024098321150293196
282,5,1,12446,3,0.00024104129840912743,0.6,0.0004818890048992049,0.0002410025706940874
283,7,4,8839,3,0.0003394049100576988,0.42857142857142855,0.0006782726656115758,0.0003392513852764899
284,3,11,5919,2,0.00033789491468153406,0.6666666666666666,0.0006754474839581223,0.00033783783783783786
285,7,12,5837,7,0.0011992461881103306,1.0,0.002395619438740589,0.0011992461881103306
286,11,12,5837,11,0.0018845297241733767,1.0,0.003761969904240766,0.0018845297241733767
287,5,6,6949,5,0.000719527989638797,1.0,0.0014380212827149843,0.000719527989638797
288,3,6,6949,3,0.00043171679378327816,1.0,0.0008630609896432681,0.00043171679378327816
289,7,26,3627,7,0.0019299696719051558,1.0,0.0038525041276829945,0.0019299696719051558
290,4,2,11458,4,0.00034910106475824753,1.0,0.0006979584714709475,0.00034910106475824753
291,10,62,1643,5,0.0030432136335970784,0.5,0.006049606775559589,0.003033980582524272
292,9,62,1643,4,0.002434570906877663,0.4444444444444444,0.004842615012106538,0.0024271844660194173
293,6,62,1643,4,0.002434570906877663,0.6666666666666666,0.004851425106124924,0.0024316109422492403
294,6,62,1643,4,0.002434570906877663,0.6666666666666666,0.004851425106124924,0.0024316109422492403
295,4,62,1643,4,0.002434570906877663,1.0,0.004857316332726169,0.002434570906877663
296,5,62,1643,5,0.0030432136335970784,1.0,0.006067961165048543,0.0030432136335970784
297,9,62,1643,8,0.004869141813755326,0.8888888888888888,0.009685230024213076,0.004866180048661801
298,15,62,1643,13,0.007912355447352405,0.8666666666666667,0.015681544028950545,0.007902735562310031
299,10,37,2781,10,0.003595828838547285,1.0,0.007165890361877462,0.003595828838547285
300,4,37,2781,4,0.001438331535418914,1.0,0.0028725314183123875,0.001438331535418914
301,3,37,2781,3,0.0010787486515641855,1.0,0.0021551724137931034,0.0010787486515641855
302,3,37,2781,3,0.0010787486515641855,1.0,0.0021551724137931034,0.0010787486515641855
303,3,1,12446,3,0.00024104129840912743,1.0,0.00048196642300586397,0.00024104129840912743
304,5,85,1063,5,0.004703668861712135,1.0,0.009363295880149811,0.004703668861712135
305,3,12,5837,3,0.0005139626520472845,1.0,0.0010273972602739725,0.0005139626520472845
306,10,12,5837,10,0.0017132088401576153,1.0,0.0034205575508807935,0.0017132088401576153
307,3,10,5960,3,0.0005033557046979866,1.0,0.001006204930404159,0.0005033557046979866
308,4,27,3421,4,0.001169248757673195,1.0,0.0023357664233576644,0.001169248757673195
309,10,45,2354,9,0.0038232795242141037,0.9,0.0076142131979695426,0.003821656050955414
310,3,11,5919,3,0.0005068423720223011,1.0,0.0010131712259371835,0.0005068423720223011
311,11,83,1064,11,0.010338345864661654,1.0,0.020465116279069766,0.010338345864661654
312,68,16,5112,44,0.008607198748043818,0.6470588235294118,0.016988416988416986,0.008566978193146417
